"","Country","ISO.3166.1.alpha.3","Coal","Oil","Gas","Cement","latitude","longitude"
"120","Mauritius","MUS",1.523079,2.685274,0,0,-20.348404,57.552152
"121","Mayotte","MYT",0,0.273281,0,0,-12.8275,45.166244
"122","Mexico","MEX",20.011074,190.678139,149.524596,20.650326,23.634501,-102.552784
"123","Moldova","MDA",0.3613,2.423479,1.829249,0.636249,47.411631,28.369885
"124","Mongolia","MNG",43.835373,5.282386,0,0.487261,46.862496,103.846656
"125","Montenegro","MNE",1.495241,0.956021,0,0,42.708678,19.37439
"126","Montserrat","MSR",0,0.01877,0,0,16.742498,-62.187366
"127","Morocco","MAR",25.36126,32.794844,1.563719,5.0005,31.791702,-7.09262
"128","Mozambique","MOZ",0.046479,3.951473,1.659778,1.011357,-18.665695,35.529562
"129","Namibia","NAM",0.046106,3.379047,0,0.519991,-22.95764,18.49041
"130","Nauru","NRU",0,0.058006,0,0,-0.522778,166.931503
"131","Nepal","NPL",3.596216,6.58558,0,3.762698,28.394857,84.124008
"132","Netherlands","NLD",16.994711,48.155713,70.666977,0,52.132633,5.291266
"133","New Caledonia","NCL",2.607737,2.74947,0,0.029384,-20.904305,165.618042
"134","New Zealand","NZL",5.755663,19.124118,7.846914,0.379157,-40.900557,174.885971
"135","Nicaragua","NIC",0,4.324356,0,0.23261,12.865416,-85.207229
"136","Niger","NER",0.295738,2.024959,0,0.100748,17.607789,8.081666
"137","Nigeria","NGA",0.132916,70.18858,37.571966,8.757343,9.081999,8.675277
"138","Niue","NIU",0,0.011601,0,0,-19.054445,-169.867233
"139","North Korea","PRK",49.8124,3.352729,0,2.171351,40.339852,127.510093
"140","Norway","NOR",3.6024,21.1856,14.317,0.725,60.472024,8.468946
"141","Oman","OMN",0,11.330244,54.707254,1.816159,21.512583,55.923255
"142","Pakistan","PAK",57.210218,65.651413,69.423341,17.644992,30.375321,69.345116
"143","Palau","PLW",0,0.232023,0,0,7.51498,134.58252
"144","Panama","PAN",2.204189,7.727284,1.154994,0.569895,8.537981,-80.782127
"145","Papua New Guinea","PNG",0,7.389926,0.83248,0,-6.314993,143.95555
"146","Paraguay","PRY",0.001285,7.628318,0,0.40365,-23.442503,-58.443832
"147","Peru","PER",2.269338,26.903684,13.614184,4.546156,-9.189967,-75.015152
"148","Philippines","PHL",69.125949,46.997341,7.714698,11.674557,12.879721,121.774017
"149","Poland","POL",164.234621,85.531578,36.764228,7.690636,51.919438,19.145136
"150","Portugal","PRT",2.430948,23.215232,11.992691,2.309659,39.399872,-8.224454
"151","Puerto Rico","PRI",NA,NA,NA,NA,18.220833,-66.590149
"152","Qatar","QAT",0,8.140869,81.253914,1.571676,25.354826,51.183884
"153","Réunion","REU",1.883018,2.21994,0,0,-21.115141,55.536384
"154","Romania","ROU",14.234452,29.22042,25.117993,3.901027,45.943161,24.96676
"155","Russia","RUS",366.758617,380.833317,780.781499,20.580721,61.52401,105.318756
"156","Rwanda","RWA",0.017877,1.392487,0.087912,0.1636,-1.940278,29.873888
"157","Saint Helena","SHN",0,0.012513,0,0,-24.143474,-10.030696
"158","Saint Kitts and Nevis","KNA",0,0.215855,0,0,17.357822,-62.782998
"159","Saint Lucia","LCA",0,0.441095,0,0,13.909444,-60.978893
"160","Saint Pierre and Miquelon","SPM",0,0.05631,0,0,46.941936,-56.27111
"161","Saint Vincent and the Grenadines","VCT",0,0.193957,0,0,12.984305,-61.287228
"162","Samoa","WSM",0,0.286161,0,0,-13.759029,-172.104629
"163","Saudi Arabia","SAU",0,371.034522,260.309005,25.592905,23.885942,45.079162
"164","Senegal","SEN",1.894052,8.14475,0.031372,2.673702,14.497401,-14.452362
"165","Serbia","SRB",30.428334,8.624748,4.536567,0.959075,44.016521,21.005859
"166","Seychelles","SYC",0,0.538384,0,0,-4.679574,55.491977
"167","Sierra Leone","SLE",0,1.216472,0,0,8.460555,-11.779889
"168","Singapore","SGP",1.864508,7.073996,20.970992,0,1.352083,103.819836
"169","Slovakia","SVK",9.955995,9.610438,9.287948,1.443145,48.669026,19.699024
"170","Slovenia","SVN",4.392651,6.019196,1.749733,0.474881,46.151241,14.995463
"171","Solomon Islands","SLB",0,0.309364,0,0,-9.64571,160.156194
"172","Somalia","SOM",0,0.578264,0,NA,5.152149,46.199616
"173","South Africa","ZAF",373.220141,49.002001,8.484006,5.070967,-30.559482,22.937506
"174","South Korea","KOR",282.883413,165.067876,116.63454,22.865592,35.907757,127.766922
"175","Spain","ESP",14.300041,120.283595,64.320816,8.191764,40.463667,-3.74922
"176","Sri Lanka","LKA",6.335415,13.857081,0,1.511185,7.873054,80.771797
"177","Sudan","SDN",0,18.025897,0,1.555589,12.862807,30.217636
"178","Suriname","SUR",0,2.586778,0.00903,0.01183,3.919305,-56.027783
"179","Swaziland","SWZ",0.18113,0.878902,0,0,-26.522503,31.465866
"180","Sweden","SWE",6.662655,26.157097,1.446498,1.272062,60.128161,18.643501
"181","Switzerland","CHE",0.414396,25.309228,6.649167,1.679247,46.818188,8.227512
"182","Syria","SYR",0.002883,17.012827,6.537683,0.768375,34.802075,38.996815
"183","Taiwan","TWN",144.262502,62.887735,50.229238,5.759784,23.69781,120.960515
"184","Tajikistan","TJK",4.501797,2.584829,0.293917,2.053499,38.861034,71.276093
"185","Tanzania","TZA",1.844857,6.128273,1.79692,2.52413,-6.369028,34.888822
"186","Thailand","THA",66.805159,110.907639,77.123697,21.925554,15.870032,100.992541
"187","Timor-Leste","TLS",0,0.638063,0,0,-8.874217,125.727539
"188","Togo","TGO",0,1.197757,0.203918,0.842017,8.619543,0.824782
"189","Tonga","TON",0,0.17015,0,0,-21.178986,-175.198242
"190","Trinidad and Tobago","TTO",0,3.468628,31.648718,0.262849,10.691803,-61.222503
"191","Tunisia","TUN",0,11.826255,12.089831,3.223213,33.886917,9.537499
"192","Turkey","TUR",158.630595,115.280894,92.216937,40.812754,38.963745,35.243322
"193","Turkmenistan","TKM",0,19.943643,47.435126,1.522633,38.969719,59.556278
"194","Turks and Caicos Islands","TCA",0,0.309705,0,0,21.694025,-71.797928
"195","Tuvalu","TUV",0,0.007734,0,0,-7.109535,177.64933
"196","Uganda","UGA",0,4.925217,0,0.581764,1.373333,32.290275
"197","Ukraine","UKR",102.148412,34.914376,60.774426,4.026967,48.379433,31.16558
"198","United Arab Emirates","ARE",7.168701,53.970787,130.583105,5.727885,23.424076,53.847818
"199","United Kingdom","GBR",22.809405,143.980921,149.420095,3.899688,55.378051,-3.435973
"200","United States of America","USA",878.972885,2049.3365,1653.677852,40.687747,37.09024,-95.712891
"201","Uruguay","URY",0.001285,5.869309,0.135443,0.290612,-32.522779,-55.765835
"202","Uzbekistan","UZB",11.347821,10.945809,90.231391,4.67908,41.377491,64.585262
"203","Vanuatu","VUT",0,0.17015,0,0,-15.376706,166.959158
"204","Venezuela","VEN",0.065309,29.418379,29.06252,1.774428,6.42375,-66.58973
"205","Yemen","YEM",0.279686,9.359764,0.197557,0.663596,15.552727,48.516388
"206","Zambia","ZMB",2.29177,4.027911,0,0.960983,-13.133897,27.849332
"207","Zimbabwe","ZWE",6.721571,3.316712,0,0.569615,-19.015438,29.154857
